序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
55	接收	22:04:57.474		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
56	接收	22:04:57.500		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
57	接收	22:04:57.524		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
58	接收	22:04:57.550		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
59	接收	22:04:57.573		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
60	接收	22:04:57.600		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
61	接收	22:04:57.624		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
62	接收	22:04:57.649		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
63	接收	22:04:57.674		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
64	接收	22:04:57.700		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
65	接收	22:04:57.725		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
